"Data Import Template"
"Table:","Purchase Order"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Purchase Order","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","~","Purchase Order Item","po_details","","","","","","","","","","","","","","","","","","","","","","","","~","Purchase Taxes and Charges","other_charges","","","","","","","","","","~","Purchase Order Item Supplied","po_raw_material_details","","","","","","",""
"Column Labels:","ID","Series","Supplier","Date","Company","Currency","Exchange Rate","Status","Fiscal Year","Name","Buy Back Requisition Ref","warehouse","IMEI No","Colour","Paper Voucher Pin","Amended From","Price List","Price List Currency","Price List Exchange Rate","Ignore Pricing Rule","Net Total (Company Currency)","Net Total","Taxes and Charges","Taxes and Charges Added (Company Currency)","Taxes and Charges Deducted (Company Currency)","Total Tax (Company Currency)","Grand Total (Company Currency)","In Words (Company Currency)","Rounded Total (Company Currency)","Advance Paid","Taxes and Charges Added","Taxes and Charges Deducted","Grand Total","In Words","Terms","Terms and Conditions","Supplier Address","Contact Person","Is Subcontracted","Letter Head","Print Heading","% Received","% Billed","Is Recurring","Recurring Type","From Date","To Date","Repeat on Day of Month","End Date","Next Date","Recurring Id","Notification Email Address","","ID","Item Code","Item Name","Reqd By Date","Description","Quantity","UOM","Stock UOM","UOM Conversion Factor","Rate (Company Currency)","Amount (Company Currency)","Price List Rate","Discount %","Price List Rate (Company Currency)","Rate ","Amount","Pricing Rule","Warehouse","Project Name","Material Request No","Supplier Quotation","Qty as per Stock UOM","Received Qty","Billed Amt","Page Break","","ID","Consider Tax or Charge for","Add or Deduct","Type","Description","Account Head","Reference Row #","Cost Center","Rate","Amount","Total","","ID","Reference Name","BOM Detail No","Item Code","Raw Material Item Code","Required Qty","Rate","Amount","Stock Uom"
"","""PO-BB-00030""","PO-BB-","Slot buy back program","2015-02-03","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00036","","","","","","Standard Buying","NGN",1.0,0,25000.0,25000.0,"",0.0,0.0,0.0,25000.0,"NGN Twenty-Five Thousand only.",25000.0,"",0.0,0.0,25000.0,"NGN Twenty-Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00047""","Samsung","Samsung-S2","2015-02-03","Samsung",1.0,"Nos","Nos",1.0,25000.0,25000.0,200.0,0.0,200.0,25000.0,25000.0,"","Finished Goods - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00032""","PO-BB-","Slot buy back program","2015-02-03","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00040","","","","","","Standard Buying","NGN",1.0,0,25000.0,25000.0,"",0.0,0.0,0.0,25000.0,"NGN Twenty-Five Thousand only.",25000.0,"",0.0,0.0,25000.0,"NGN Twenty-Five Thousand only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00049""","Samsung","Samsung-S2","2015-02-03","Samsung",1.0,"Nos","Nos",1.0,25000.0,25000.0,200.0,0.0,200.0,25000.0,25000.0,"","Finished Goods - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00031""","PO-BB-","Slot buy back program","2015-02-03","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00039","","","","","","Standard Buying","NGN",1.0,0,240.0,240.0,"",0.0,0.0,0.0,240.0,"NGN Two Hundred Forty only.",240.0,"",0.0,0.0,240.0,"NGN Two Hundred Forty only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00048""","Nokia","Nokia","2015-02-03","Nokia",1.0,"Nos","Nos",1.0,240.0,240.0,2000.0,0.0,2000.0,240.0,240.0,"","Stores - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00029""","PO-BB-","Slot buy back program","2015-02-03","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00035","","","","","","Standard Buying","NGN",1.0,0,5000.0,5000.0,"",0.0,0.0,0.0,5000.0,"NGN Five Thousand only.",5000.0,"",0.0,0.0,5000.0,"NGN Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00046""","Samsung","Samsung-S2","2015-02-03","Samsung",1.0,"Nos","Nos",1.0,5000.0,5000.0,200.0,0.0,200.0,5000.0,5000.0,"","Finished Goods - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00028""","PO-BB-","Slot buy back program","2015-02-03","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00034","","","","","","Standard Buying","NGN",1.0,0,1200.0,1200.0,"",0.0,0.0,0.0,1200.0,"NGN One Thousand, Two Hundred only.",1200.0,"",0.0,0.0,1200.0,"NGN One Thousand, Two Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00045""","Nokia","Nokia","2015-02-03","Nokia",1.0,"Nos","Nos",1.0,1200.0,1200.0,2000.0,0.0,2000.0,1200.0,1200.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00027""","PO-BB-","Slot buy back program","2015-02-03","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00033","","","","","","Standard Buying","NGN",1.0,0,5000.0,5000.0,"",0.0,0.0,0.0,5000.0,"NGN Five Thousand only.",5000.0,"",0.0,0.0,5000.0,"NGN Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00044""","Samsung","Samsung-S2","2015-02-03","Samsung",1.0,"Nos","Nos",1.0,5000.0,5000.0,200.0,0.0,200.0,5000.0,5000.0,"","Finished Goods - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00026""","PO-BB-","Slot buy back program","2015-02-03","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00032","","","","","","Standard Buying","NGN",1.0,0,25000.0,25000.0,"",0.0,0.0,0.0,25000.0,"NGN Twenty-Five Thousand only.",25000.0,"",0.0,0.0,25000.0,"NGN Twenty-Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00043""","Samsung","Samsung-S2","2015-02-03","Samsung",1.0,"Nos","Nos",1.0,25000.0,25000.0,200.0,0.0,200.0,25000.0,25000.0,"","Finished Goods - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00025""","PO-BB-","Slot buy back program","2015-02-03","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00031","","","","","","Standard Buying","NGN",1.0,0,1200.0,1200.0,"",0.0,0.0,0.0,1200.0,"NGN One Thousand, Two Hundred only.",1200.0,"",0.0,0.0,1200.0,"NGN One Thousand, Two Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00042""","Nokia","Nokia","2015-02-03","Nokia",1.0,"Nos","Nos",1.0,1200.0,1200.0,2000.0,0.0,2000.0,1200.0,1200.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00024""","PO-BB-","Slot buy back program","2015-02-03","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00030","","","","","","Standard Buying","NGN",1.0,0,5000.0,5000.0,"",0.0,0.0,0.0,5000.0,"NGN Five Thousand only.",5000.0,"",0.0,0.0,5000.0,"NGN Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00041""","Samsung","Samsung-S2","2015-02-03","Samsung",1.0,"Nos","Nos",1.0,5000.0,5000.0,200.0,0.0,200.0,5000.0,5000.0,"","Finished Goods - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00023""","PO-BB-","Slot buy back program","2015-02-02","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00028","","","","","","Standard Buying","NGN",1.0,0,1200.0,1200.0,"",0.0,0.0,0.0,1200.0,"NGN One Thousand, Two Hundred only.",1200.0,"",0.0,0.0,1200.0,"NGN One Thousand, Two Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00040""","Nokia","Nokia","2015-02-02","Nokia",1.0,"Nos","Nos",1.0,1200.0,1200.0,2000.0,0.0,2000.0,1200.0,1200.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00022""","PO-BB-","Slot buy back program","2015-02-02","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00029","","","","","","Standard Buying","NGN",1.0,0,25000.0,25000.0,"",0.0,0.0,0.0,25000.0,"NGN Twenty-Five Thousand only.",25000.0,"",0.0,0.0,25000.0,"NGN Twenty-Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00039""","Samsung","Samsung-S2","2015-02-02","Samsung",1.0,"Nos","Nos",1.0,25000.0,25000.0,200.0,0.0,200.0,25000.0,25000.0,"","Finished Goods - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00016""","PO-BB-","Slot buy back program","2015-02-02","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00022","","","","","","Standard Buying","NGN",1.0,0,960.0,960.0,"",0.0,0.0,0.0,960.0,"NGN Nine Hundred Sixty only.",960.0,"",0.0,0.0,960.0,"NGN Nine Hundred Sixty only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00033""","Nokia","Nokia","2015-02-02","Nokia",1.0,"Nos","Nos",1.0,960.0,960.0,2000.0,0.0,2000.0,960.0,960.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00015""","PO-BB-","Slot buy back program","2015-02-02","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00021","","","","","","Standard Buying","NGN",1.0,0,25000.0,25000.0,"",0.0,0.0,0.0,25000.0,"NGN Twenty-Five Thousand only.",25000.0,"",0.0,0.0,25000.0,"NGN Twenty-Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00032""","Samsung","Samsung-S2","2015-02-02","Samsung",1.0,"Nos","Nos",1.0,25000.0,25000.0,200.0,0.0,200.0,25000.0,25000.0,"","Finished Goods - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00021""","PO-BB-","Slot buy back program","2015-02-02","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00027","","","","","","Standard Buying","NGN",1.0,0,1200.0,1200.0,"",0.0,0.0,0.0,1200.0,"NGN One Thousand, Two Hundred only.",1200.0,"",0.0,0.0,1200.0,"NGN One Thousand, Two Hundred only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00038""","Nokia","Nokia","2015-02-02","Nokia",1.0,"Nos","Nos",1.0,1200.0,1200.0,2000.0,0.0,2000.0,1200.0,1200.0,"","Stores - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00020""","PO-BB-","Slot buy back program","2015-02-02","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00026","","","","","","Standard Buying","NGN",1.0,0,1200.0,1200.0,"",0.0,0.0,0.0,1200.0,"NGN One Thousand, Two Hundred only.",1200.0,"",0.0,0.0,1200.0,"NGN One Thousand, Two Hundred only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00037""","Nokia","Nokia","2015-02-02","Nokia",1.0,"Nos","Nos",1.0,1200.0,1200.0,2000.0,0.0,2000.0,1200.0,1200.0,"","Stores - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00017""","PO-BB-","Slot buy back program","2015-02-02","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00023","","","","","","Standard Buying","NGN",1.0,0,960.0,960.0,"",0.0,0.0,0.0,960.0,"NGN Nine Hundred Sixty only.",960.0,"",0.0,0.0,960.0,"NGN Nine Hundred Sixty only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00034""","Nokia","Nokia","2015-02-02","Nokia",1.0,"Nos","Nos",1.0,960.0,960.0,2000.0,0.0,2000.0,960.0,960.0,"","Stores - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00019""","PO-BB-","Slot buy back program","2015-02-02","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00025","","","","","","Standard Buying","NGN",1.0,0,1200.0,1200.0,"",0.0,0.0,0.0,1200.0,"NGN One Thousand, Two Hundred only.",1200.0,"",0.0,0.0,1200.0,"NGN One Thousand, Two Hundred only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00036""","Nokia","Nokia","2015-02-02","Nokia",1.0,"Nos","Nos",1.0,1200.0,1200.0,2000.0,0.0,2000.0,1200.0,1200.0,"","Stores - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00018""","PO-BB-","Slot buy back program","2015-02-02","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00024","","","","","","Standard Buying","NGN",1.0,0,960.0,960.0,"",0.0,0.0,0.0,960.0,"NGN Nine Hundred Sixty only.",960.0,"",0.0,0.0,960.0,"NGN Nine Hundred Sixty only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00035""","Nokia","Nokia","2015-02-02","Nokia",1.0,"Nos","Nos",1.0,960.0,960.0,2000.0,0.0,2000.0,960.0,960.0,"","Stores - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00014""","PO-BB-","Slot buy back program","2015-02-02","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00020","","","","","","Standard Buying","NGN",1.0,0,1200.0,1200.0,"",0.0,0.0,0.0,1200.0,"NGN One Thousand, Two Hundred only.",1200.0,"",0.0,0.0,1200.0,"NGN One Thousand, Two Hundred only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00031""","Nokia","Nokia","2015-02-02","Nokia",1.0,"Nos","Nos",1.0,1200.0,1200.0,2000.0,0.0,2000.0,1200.0,1200.0,"","Stores - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00013""","PO-BB-","Slot buy back program","2015-02-02","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00002","","","","","","Standard Buying","NGN",1.0,0,2000.0,2000.0,"",0.0,0.0,0.0,2000.0,"NGN Two Thousand only.",2000.0,"",0.0,0.0,2000.0,"NGN Two Thousand only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00030""","Nokia","Nokia","2015-02-02","Nokia",1.0,"Nos","Nos",1.0,2000.0,2000.0,2000.0,0.0,2000.0,2000.0,2000.0,"","Stores - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00005""","PO-BB-","Slot buy back program","2015-01-30","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00006","","","","","","Standard Buying","NGN",1.0,0,500.0,500.0,"",0.0,0.0,0.0,500.0,"NGN Five Hundred only.",500.0,"",0.0,0.0,500.0,"NGN Five Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00022""","Nokia","Nokia","2015-01-30","Nokia",1.0,"Nos","Nos",1.0,500.0,500.0,0.0,0.0,0.0,500.0,500.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00008""","PO-BB-","Slot buy back program","2015-01-30","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00008","","","","","","Standard Buying","NGN",1.0,0,0.0,0.0,"",0.0,0.0,0.0,0.0,"",0.0,"",0.0,0.0,0.0,"","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00025""","Nokia","Nokia","2015-01-30","Nokia",1.0,"Nos","Nos",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00007""","PO-BB-","Slot buy back program","2015-01-30","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00001","","","","","","Standard Buying","NGN",1.0,0,400.0,400.0,"",0.0,0.0,0.0,400.0,"NGN Four Hundred only.",400.0,"",0.0,0.0,400.0,"NGN Four Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00024""","Nokia","Nokia","2015-01-30","Nokia",1.0,"Nos","Nos",1.0,400.0,400.0,0.0,0.0,0.0,400.0,400.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00012""","PO-BB-","Slot buy back program","2015-01-31","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00016","","","","","","Standard Buying","NGN",1.0,0,2000.0,2000.0,"",0.0,0.0,0.0,2000.0,"NGN Two Thousand only.",2000.0,"",0.0,0.0,2000.0,"NGN Two Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00029""","Nokia","Nokia","2015-01-31","Nokia",1.0,"Nos","Nos",1.0,2000.0,2000.0,2000.0,0.0,2000.0,2000.0,2000.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00011""","PO-BB-","Slot buy back program","2015-01-31","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00014","","","","","","Standard Buying","NGN",1.0,0,2000.0,2000.0,"",0.0,0.0,0.0,2000.0,"NGN Two Thousand only.",2000.0,"",0.0,0.0,2000.0,"NGN Two Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00028""","Nokia","Nokia","2015-01-31","Nokia",1.0,"Nos","Nos",1.0,2000.0,2000.0,2000.0,0.0,2000.0,2000.0,2000.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00010""","PO-BB-","Slot buy back program","2015-01-31","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00018","","","","","","Standard Buying","NGN",1.0,0,8750.0,8750.0,"",0.0,0.0,0.0,8750.0,"NGN Eight Thousand, Seven Hundred Fifty only.",8750.0,"",0.0,0.0,8750.0,"NGN Eight Thousand, Seven Hundred Fifty only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00027""","Samsung","Samsung-S2","2015-01-31","Samsung",1.0,"Nos","Nos",1.0,8750.0,8750.0,200.0,0.0,200.0,8750.0,8750.0,"","Finished Goods - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00009""","PO-BB-","Slot buy back program","2015-01-30","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00009","","","","","","Standard Buying","NGN",1.0,0,14000.0,14000.0,"",0.0,0.0,0.0,14000.0,"NGN Fourteen Thousand only.",14000.0,"",0.0,0.0,14000.0,"NGN Fourteen Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00026""","Samsung","Samsung-S2","2015-01-30","Samsung",1.0,"Nos","Nos",1.0,14000.0,14000.0,0.0,0.0,0.0,14000.0,14000.0,"","Finished Goods - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00006""","PO-BB-","Slot buy back program","2015-01-30","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00007","","","","","","Standard Buying","NGN",1.0,0,8000.0,8000.0,"",0.0,0.0,0.0,8000.0,"NGN Eight Thousand only.",8000.0,"",0.0,0.0,8000.0,"NGN Eight Thousand only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00023""","Nokia","Nokia","2015-01-30","Nokia",1.0,"Nos","Nos",1.0,8000.0,8000.0,0.0,0.0,0.0,8000.0,8000.0,"","Stores - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
